Foil Type:	65A0XX
Height/Length Ratio:	20.00%
Width/Height Ratio:	100.00%
Length (cm):	16.00
Centre (cm):	6.70
Projected Weight (kg):	0.7721
Volume (cm3):	68.3249
Wetted Surface (cm2):	107.2760


Position	X	Height Max	Height Min	Width
1	0.00	0.00	0.00	0.00
2	1.00	0.76	-0.76	0.76
3	2.00	1.07	-1.07	1.07
4	3.00	1.28	-1.28	1.28
5	4.00	1.43	-1.43	1.43
6	5.00	1.54	-1.54	1.54
7	6.00	1.59	-1.59	1.59
8	7.00	1.60	-1.60	1.60
9	8.00	1.55	-1.55	1.55
10	9.00	1.44	-1.44	1.44
11	10.00	1.29	-1.29	1.29
12	11.00	1.10	-1.10	1.10
13	12.00	0.90	-0.90	0.90
14	13.00	0.67	-0.67	0.67
15	14.00	0.45	-0.45	0.45
16	15.00	0.23	-0.23	0.23
17	16.00	0.01	-0.01	0.01
