Foil Type:	63A0XX
Height/Length Ratio:	20.00%
Width/Height Ratio:	100.00%
Length (cm):	33.00
Centre (cm):	12.72
Projected Weight (kg):	6.5901
Volume (cm3):	583.1980
Wetted Surface (cm2):	447.0189


Position	X	Height Max	Height Min	Width
1	0.00	0.00	0.00	0.00
2	0.97	1.19	-1.19	1.19
3	1.94	1.70	-1.70	1.70
4	2.91	2.06	-2.06	2.06
5	3.88	2.36	-2.36	2.36
6	4.85	2.59	-2.59	2.59
7	5.82	2.79	-2.79	2.79
8	6.79	2.95	-2.95	2.95
9	7.76	3.07	-3.07	3.07
10	8.74	3.17	-3.17	3.17
11	9.71	3.24	-3.24	3.24
12	10.68	3.29	-3.29	3.29
13	11.65	3.30	-3.30	3.30
14	12.62	3.29	-3.29	3.29
15	13.59	3.25	-3.25	3.25
16	14.56	3.19	-3.19	3.19
17	15.53	3.11	-3.11	3.11
18	16.50	3.00	-3.00	3.00
19	17.47	2.88	-2.88	2.88
20	18.44	2.75	-2.75	2.75
21	19.41	2.60	-2.60	2.60
22	20.38	2.44	-2.44	2.44
23	21.35	2.27	-2.27	2.27
24	22.32	2.08	-2.08	2.08
25	23.29	1.90	-1.90	1.90
26	24.26	1.71	-1.71	1.71
27	25.24	1.52	-1.52	1.52
28	26.21	1.33	-1.33	1.33
29	27.18	1.14	-1.14	1.14
30	28.15	0.95	-0.95	0.95
31	29.12	0.76	-0.76	0.76
32	30.09	0.57	-0.57	0.57
33	31.06	0.39	-0.39	0.39
34	32.03	0.20	-0.20	0.20
35	33.00	0.02	-0.02	0.02
